Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"27,383.44",-215.01,-0.78%,534.256B,9.821B,9.821B,9.821B,19.51M
ETH-USD,Ethereum USD,"1,570.03",-9.58,-0.61%,188.8B,5.175B,5.175B,5.175B,120.252M
USDT-USD,Tether USDt USD,1.0004,+0.0002,+0.02%,83.529B,17.156B,17.156B,17.156B,83.495B
BNB-USD,BNB USD,206.78,+0.46,+0.22%,31.812B,441.578M,441.578M,441.578M,153.845M
XRP-USD,XRP USD,0.496389,-0.003761,-0.75%,26.501B,647.947M,647.947M,647.947M,53.387B
USDC-USD,USD Coin USD,1.0003,+0.0004,+0.04%,25.395B,2.379B,2.379B,2.379B,25.389B
STETH-USD,Lido Staked ETH USD,"1,572.75",-8.71,-0.55%,13.876B,11.585M,11.585M,11.585M,8.823M
SOL-USD,Solana USD,22.18,+0.18,+0.83%,9.193B,234.281M,234.281M,234.281M,414.547M
WTRX-USD,Wrapped TRON USD,0.086318,+0.001367,+1.61%,8.776B,"108,521","108,521","108,521",101.676B
ADA-USD,Cardano USD,0.248869,-0.001798,-0.72%,8.748B,107.443M,107.443M,107.443M,35.153B
DOGE-USD,Dogecoin USD,0.059256,+0.000470,+0.80%,8.376B,120.341M,120.341M,120.341M,141.362B
TRX-USD,TRON USD,0.086367,+0.000128,+0.15%,7.685B,131.906M,131.906M,131.906M,88.979B
TON11419-USD,Toncoin USD,2.0022,+0.0271,+1.37%,6.871B,20.748M,20.748M,20.748M,3.432B
DAI-USD,Dai USD,0.999632,-0.000079,-0.01%,5.346B,107.826M,107.826M,107.826M,5.348B
MATIC-USD,Polygon USD,0.518371,-0.009481,-1.80%,4.821B,241.518M,241.518M,241.518M,9.3B
DOT-USD,Polkadot USD,3.8080,-0.0302,-0.79%,4.694B,65.292M,65.292M,65.292M,1.233B
LTC-USD,Litecoin USD,63.39,+0.04,+0.06%,4.675B,163.013M,163.013M,163.013M,73.747M
WBTC-USD,Wrapped Bitcoin USD,"27,399.31",-178.95,-0.65%,4.469B,46.787M,46.787M,46.787M,"163,106"
BCH-USD,Bitcoin Cash USD,212.68,-5.67,-2.60%,4.153B,148.542M,148.542M,148.542M,19.528M
SHIB-USD,Shiba Inu USD,0.00000691,-0.00000000,-0.02%,4.072B,65.927M,65.927M,65.927M,589.347T
LINK-USD,Chainlink USD,7.2707,-0.0228,-0.31%,4.049B,169.957M,169.957M,169.957M,556.85M
LEO-USD,UNUS SED LEO USD,3.7138,+0.0486,+1.33%,3.45B,"477,271","477,271","477,271",929.086M
TUSD-USD,TrueUSD USD,0.999677,+0.000642,+0.06%,3.418B,421.719M,421.719M,421.719M,3.419B
AVAX-USD,Avalanche USD,9.4702,-0.0328,-0.35%,3.358B,126.246M,126.246M,126.246M,354.562M
WKAVA-USD,Wrapped Kava USD,6.7322,+0.0265,+0.40%,3.35B,91,91,91,497.669M
